iter	Passed	Remaining
0	2420	1208025
1	4503	1121373
2	6576	1089560
3	8583	1064320
4	10600	1049449
5	12656	1042069
6	14714	1036304
7	16695	1026801
8	18630	1016389
9	20572	1008033
10	22492	999890
11	24828	1009709
12	26778	1003174
13	28779	999045
14	31726	1025831
15	33986	1028101
16	36935	1049396
17	39516	1058163
18	41700	1055677
19	43728	1049491
20	45769	1043991
21	48722	1058598
22	51016	1058040
23	53035	1051867
24	55103	1046961
25	57101	1041013
26	59094	1035246
27	61137	1030602
28	63956	1038740
29	67344	1055056
30	69273	1048038
31	71290	1042628
32	73345	1037945
33	75649	1036843
34	77576	1030665
35	79536	1025136
36	81459	1019343
37	83477	1014904
38	85789	1014072
39	88841	1021678
40	90785	1016358
41	92747	1011391
42	94675	1006198
43	96570	1000820
44	99720	1008289
45	102181	1008487
46	104115	1003500
47	105958	997776
48	107859	992744
49	110335	993015
50	112315	988812
51	114427	985836
52	116311	980964
53	118190	976168
54	121674	984459
55	123972	982921
56	125874	978286
57	128917	982439
58	130970	978947
59	132854	974266
60	135079	972131
61	137232	969483
62	139243	965863
63	141248	962256
64	143382	959557
65	145349	955780
66	147263	951715
67	149705	951067
68	152364	951726
69	154325	948000
70	156440	945251
71	159104	945785
72	162507	950555
73	166319	957459
74	169519	960613
75	171761	958247
76	173953	955611
77	175965	952016
78	178442	950941
79	180662	948477
80	183675	950123
81	185667	946451
82	187740	943228
83	191001	945912
84	194122	947774
85	196504	945962
86	198821	943832
87	201340	942637
88	202390	934633
89	204494	931584
90	206527	928240
91	208681	925455
92	210789	922486
93	212829	919243
94	215669	919433
95	218154	918067
96	220211	914900
97	222209	911512
98	224646	909933
99	227969	911876
100	230741	911543
101	233750	912083
102	237000	913486
103	239212	910846
104	241391	908091
105	243406	904738
106	245620	902138
107	248526	902058
108	249891	896399
109	252047	893624
110	254275	891110
111	256388	888201
112	258903	886687
113	261063	883953
114	263077	880736
115	265283	878179
116	267197	874672
117	269201	871483
118	271047	867806
119	273138	864938
120	275173	861906
121	277141	858684
122	279383	856320
123	281296	852962
124	283209	849628
125	285199	846544
126	287124	843285
127	290689	844817
128	293120	843005
129	295166	840089
130	297280	837378
131	299733	835622
132	302049	833476
133	304006	830345
134	306150	827739
135	308111	824651
136	310220	821972
137	312249	819088
138	314385	816496
